id,chinese,pinyin,english,base_herb,processing,botanical_source,net_content_g,extract_ratio,raw_per_g,raw_per_bag,categories,tcm_functions,contraindications,data_source
16,蜜百合(卷丹),Mì Bǎi Hé,Honey-fried Lily Bulb,百合,蜜,卷丹,1.5,4:1,4,6,lung|cough|shen|yin_tonic|insomnia,"Moisten the Lung, stop cough, clear the Heart and quiet the Shen. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",Cough from Wind-Cold; Spleen deficiency with loose stool,derived
17,白花蛇舌草,Bái Huā Shé Shé Cǎo,Hedyotis Diffusa,白花蛇舌草,,,2.83,5.3:1,5.3,15,heat|toxin|damp|oncology_support|urinary,"Clear Heat, resolve toxin, drain Damp and reduce swelling",Pregnancy; Spleen and Stomach Cold deficiency,derived
18,白茅根,Bái Máo Gēn,Imperata Rhizome,白茅根,,,2,2.5:1,2.5,5,bleeding|heat|urinary|oedema|lung,"Cool Blood, stop bleeding, clear Heat and promote urination",Spleen and Stomach Cold deficiency; frequent clear urination,derived
19,白前(柳叶白前),Bái Qián,Cynanchum Stauntonii,白前,,柳叶白前,1.32,3.8:1,3.8,5,cough|phlegm|lung,"Descend Lung Qi, dissolve phlegm and stop cough",Cough from Yin deficiency; Qi deficiency,derived
20,白芍,Bái Sháo,White Peony Root,白芍,,,1.33,4.5:1,4.5,6,stress|liver_qi|women|blood_tonic|menstrual|pain,"Nourish Blood, soften Liver, stop pain",Cold patterns with diarrhea,curated
21,炒白芍,Chǎo Bái Sháo,Dry-fried White Peony Root,白芍,炒,,1.33,4.5:1,4.5,6,stress|liver_qi|women|blood_tonic|menstrual|pain|spleen,"Nourish Blood, soften Liver, stop pain. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Cold patterns with diarrhea,curated+processed
22,酒白芍,Jiǔ Bái Sháo,Wine-processed White Peony Root,白芍,酒,,1.33,4.5:1,4.5,6,stress|liver_qi|women|blood_tonic|menstrual|pain|blood_move,"Nourish Blood, soften Liver, stop pain. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.",Cold patterns with diarrhea,curated+processed
23,白头翁,Bái Tóu Wēng,Pulsatilla Root,白头翁,,,3.33,3:1,3,10,heat|toxin|diarrhoea|dysentery|gut,"Clear Heat, resolve toxin, cool Blood and stop dysentery",Diarrhoea from deficiency Cold,derived
24,白薇(白薇),Bái Wēi,Cynanchum Atratum Root,白薇,,白薇,1.43,3.5:1,3.5,5,heat|fever|yin_tonic|urinary|women,"Clear Heat, cool Blood, promote urination and resolve toxin — treats deficiency fever",Spleen and Stomach Cold deficiency with loose stool,derived
25,白鲜皮,Bái Xiān Pí,Dictamnus Root Bark,白鲜皮,,,1.35,3.7:1,3.7,5,skin|itch|damp|heat|jaundice,"Clear Heat, dry Damp, dispel Wind and resolve toxin — a principal skin herb",Spleen deficiency Cold; hepatotoxic risk with prolonged use — monitor,derived
26,白英,Bái Yīng,Solanum Lyratum,白英,,,0.76,6.6:1,6.6,5,heat|damp|toxin|skin|oncology_support,"Clear Heat, drain Damp, resolve toxin and dispel Wind",Mildly toxic — dose-limited; Spleen Cold deficiency,derived
27,白芷(白芷),Bái Zhǐ,Angelica Dahurica Root,白芷,,白芷,1.67,3:1,3,5,headache|sinus|wind_cold|pain|skin,"Dispel Wind, disperse Cold, open the nose, dry Damp and relieve pain",Yin deficiency with Heat; Blood deficiency headache; photosensitising,derived
28,白芷(杭白芷),Bái Zhǐ,Angelica Dahurica Root,白芷,,杭白芷,1.25,4:1,4,5,headache|sinus|wind_cold|pain|skin,"Dispel Wind, disperse Cold, open the nose, dry Damp and relieve pain",Yin deficiency with Heat; Blood deficiency headache; photosensitising,derived
29,白术,Bái Zhú,Atractylodes Rhizome,白术,,,3.85,1.3:1,1.3,5,spleen|gut|qi_tonic|damp|fatigue,"Strengthen Spleen, dry Damp, stabilize the exterior","Yin deficiency, fluid damage",curated
30,麸炒白术,Fū Chǎo Bái Zhú,Bran-fried Atractylodes Rhizome,白术,麸炒,,4.17,1.2:1,1.2,5,spleen|gut|qi_tonic|damp|fatigue|stomach,"Strengthen Spleen, dry Damp, stabilize the exterior. Bran-frying moderates harshness and directs the action to the Spleen and Stomach, strengthening the tonifying effect while reducing irritation to the gut.","Yin deficiency, fluid damage",curated+processed
31,败酱草(黄花败酱),Bài Jiàng Cǎo,Patrinia,败酱草,,黄花败酱,1.2,7.5:1,7.5,9,toxin|abscess|gut|blood_move|heat,"Clear Heat, resolve toxin, expel pus, dispel stasis and relieve pain",Spleen and Stomach deficiency Cold; sores of deficiency type,derived
32,柏子仁,Bǎi Zǐ Rén,Biota Seed,柏子仁,,,1,5:1,5,5,sleep|heart|shen|constipation,"Nourish Heart, calm Shen, moisten intestines","Loose stools, phlegm-damp",curated
33,半边莲,Bàn Biān Lián,Lobelia Chinensis,半边莲,,,3.57,2.8:1,2.8,10,heat|toxin|oedema|urinary|snakebite,"Clear Heat, resolve toxin, promote urination and reduce swelling",Deficiency oedema without Heat,derived
34,板蓝根,Bǎn Lán Gēn,Isatis Root,板蓝根,,,4.5,2:1,2,9,heat|toxin|antiviral|throat|rash,"Clear Heat, resolve toxin, cool Blood and benefit the throat",Spleen and Stomach Cold deficiency; not for prolonged preventive use,derived
35,法半夏,Fǎ Bàn Xià,Processed Pinellia,法半夏,,,1.47,3.4:1,3.4,5,gut|phlegm|nausea|stomach|damp,"Dry Damp, resolve Phlegm, descend Rebellious Qi, stop vomiting",Pregnancy; Yin deficiency dry cough,curated
36,姜半夏,Jiāng Bàn Xià,Ginger-processed Pinellia,姜半夏,,,2.27,2.2:1,2.2,5,phlegm|stomach|nausea|damp|cough,"Dry Damp, transform phlegm, descend rebellious Qi and stop vomiting — ginger processing curbs toxicity and targets nausea",Yin deficiency with dry cough; bleeding; pregnancy caution; incompatible with 川乌/草乌,derived
37,清半夏,Qīng Bàn Xià,Alum-processed Pinellia,清半夏,,,1.56,3.2:1,3.2,5,phlegm|damp|cough|stomach,Dry Damp and transform phlegm — alum processing reduces irritancy while retaining the phlegm-drying action,Yin deficiency dry cough; bleeding; incompatible with 川乌/草乌,derived
38,半枝莲,Bàn Zhī Lián,Scutellaria Barbata,半枝莲,,,3.75,4:1,4,15,heat|toxin|nodule|damp|oncology_support,"Clear Heat, resolve toxin, invigorate Blood and drain Damp",Pregnancy; Blood deficiency,derived
39,北沙参,Běi Shā Shēn,Glehnia Root,北沙参,,,2.4,2.5:1,2.5,6,yin_tonic|lung|stomach|heat|aging,"Nourish Lung and Stomach Yin, clear Heat, generate fluids",Cold-Damp patterns,curated
40,荜茇,Bì Bá,Long Pepper,荜茇,,,0.6,5:1,5,3,cold|stomach|pain|digestion|nausea,"Warm the Middle, disperse Cold, descend Qi and relieve pain",Yin deficiency with Heat; peptic ulcer,derived
41,萹蓄,Biǎn Xù,Polygonum Aviculare,萹蓄,,,0.83,6:1,6,5,urinary|damp|itch|parasite|skin,"Promote urination, free painful urination, kill parasites and stop itching",Pregnancy; weak constitution without Damp-Heat,derived
42,醋鳖甲,Cù Biē Jiǎ,Vinegar-processed Turtle Shell,鳖甲,醋,,1.67,6:1,6,10,yin_tonic|fever|nodule|liver|abdominal_mass|pain|blood_move,"Nourish Yin, subdue Yang, soften hardness and dissipate nodules. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Pregnancy; Spleen deficiency with loose stool; no Yin deficiency; decoct first,derived
43,槟榔,Bīng Láng,Areca Seed,槟榔,,,0.5,10:1,10,5,parasite|digestion|qi_move|damp|bloating,"Kill parasites, break Qi stagnation, aid digestion and drive out water",Qi deficiency with prolapse; loose stool; chronic use associated with oral mucosal harm,derived
44,炒槟榔,Chǎo Bīng Láng,Dry-fried Areca Seed,槟榔,炒,,0.5,10:1,10,5,parasite|digestion|qi_move|damp|bloating|spleen,"Kill parasites, break Qi stagnation, aid digestion and drive out water. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Qi deficiency with prolapse; loose stool; chronic use associated with oral mucosal harm,derived
45,焦槟榔,Jiāo Bīng Láng,Scorch-fried Areca Seed,槟榔,焦,,0.5,10:1,10,5,parasite|digestion|qi_move|damp|bloating|diarrhoea,"Kill parasites, break Qi stagnation, aid digestion and drive out water. Scorch-frying markedly strengthens the food-dispersing and diarrhoea-checking action, and adds a mild astringent, bleeding-stopping quality.",Qi deficiency with prolapse; loose stool; chronic use associated with oral mucosal harm,derived
46,薄荷,Bò Hé,Peppermint,薄荷,,,0.81,3.7:1,3.7,3,stress|liver_qi|head|throat|heat,"Spread Liver Qi, clear head and eyes, expel Wind-Heat","Qi or Yin deficiency, profuse sweating",curated
47,补骨脂,Bǔ Gǔ Zhī,Psoralea Fruit,补骨脂,,,0.9,6.7:1,6.7,6,yang_tonic|kidney|spleen|bone|men,"Tonify Kidney Yang, warm Spleen, astringe Jing","Yin deficiency fire, photosensitivity",curated
48,盐补骨脂,Yán Bǔ Gǔ Zhī,Salt-processed Psoralea Fruit,补骨脂,盐,,1.2,5:1,5,6,yang_tonic|kidney|spleen|bone|men,"Tonify Kidney Yang, warm Spleen, astringe Jing. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.","Yin deficiency fire, photosensitivity",curated+processed
49,布渣叶,Bù Zhā Yè,Microcos Leaf,布渣叶,,,1.67,6:1,6,10,digestion|heat|damp|appetite,"Clear Heat, drain Damp, aid digestion and relieve stagnation",Spleen Cold deficiency,derived
50,白蔹,Bái Liǎn,Ampelopsis Root,白蔹,,,1.25,4:1,4,5,toxin|abscess|skin|burn|wound,"Clear Heat, resolve toxin, reduce swelling, generate flesh and relieve pain",Incompatible with 川乌/草乌/附子; Spleen Cold deficiency,derived
51,白屈菜,Bái Qū Cài,Chelidonium,白屈菜,,,2.57,3.5:1,3.5,9,pain|cough|toxin|stomach,"Relieve pain, stop cough and resolve toxin",TOXIC — strict dose limit; pregnancy; hepatotoxic risk with prolonged use,derived
52,扁豆花,Biǎn Dòu Huā,Hyacinth Bean Flower,扁豆花,,,2.27,2.2:1,2.2,5,summerheat|damp|spleen|diarrhoea,"Release summerheat, transform Damp and harmonise the Spleen",Generally well tolerated,derived
53,炒苍耳子,Chǎo Cāng Ěr Zǐ,Dry-fried Xanthium Fruit,苍耳子,炒,,0.5,10:1,10,5,sinus|nasal|wind_damp|headache|skin|spleen,"Disperse Wind, open the nasal passages, dispel Wind-Damp and relieve pain. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",TOXIC — strict dose limit; Blood deficiency headache; overdose causes hepatic and renal injury,derived
54,蚕沙,Cán Shā,Silkworm Faeces,蚕沙,,,0.91,5.5:1,5.5,5,wind_damp|damp|stomach|itch|joint,"Dispel Wind-Damp, harmonise the Stomach, transform Damp and relieve itching",Blood deficiency without Wind-Damp; must be bagged when decocted,derived
55,苍术(北苍术),Cāng Zhú,Atractylodes Lancea Rhizome,苍术,,北苍术,1.85,2.7:1,2.7,5,damp|spleen|wind_damp|digestion|joint,"Dry Damp, strengthen the Spleen, dispel Wind-Damp and release the exterior",Yin deficiency with Heat; profuse sweating; dry constitution,derived
56,麸炒苍术(北苍术),Fū Chǎo Cāng Zhú,Bran-fried Atractylodes Lancea Rhizome,苍术,麸炒,北苍术,2.5,2:1,2,5,damp|spleen|wind_damp|digestion|joint|stomach,"Dry Damp, strengthen the Spleen, dispel Wind-Damp and release the exterior. Bran-frying moderates harshness and directs the action to the Spleen and Stomach, strengthening the tonifying effect while reducing irritation to the gut.",Yin deficiency with Heat; profuse sweating; dry constitution,derived
57,草豆蔻,Cǎo Dòu Kòu,Alpinia Katsumadai Seed,草豆蔻,,,0.5,6:1,6,3,damp|cold|stomach|nausea|digestion,"Dry Damp, warm the Middle, move Qi and stop vomiting",Yin deficiency with Heat; Blood deficiency,derived
58,侧柏叶,Cè Bǎi Yè,Biota Leaf,侧柏叶,,,1,6:1,6,6,bleeding|heat|cough|hair|phlegm,"Cool Blood and stop bleeding, transform phlegm, stop cough and promote hair growth",Cold deficiency of Spleen and Stomach; prolonged high dose may irritate the gut,derived
59,侧柏炭,Cè Bǎi Tàn,Charred Biota Leaf,侧柏炭,,,1.2,5:1,5,6,bleeding|astringent,Charring strengthens the astringent bleeding-stopping action while reducing the cooling quality,Bleeding due to Blood stasis,derived
60,北柴胡,Běi Chái Hú,Bupleurum Root,北柴胡,,,1.5,4:1,4,6,liver|stress|fever|qi_move|women|menstrual,"Harmonise Shaoyang and reduce fever, soothe the Liver and resolve constraint, raise Yang Qi",Liver Yang rising; Yin deficiency with Heat; may raise Qi excessively in deficiency,derived
61,醋北柴胡,Cù Běi Chái Hú,Vinegar-processed Bupleurum Root,北柴胡,醋,,1.71,3.5:1,3.5,6,liver|stress|fever|qi_move|women|menstrual|pain|blood_move,"Harmonise Shaoyang and reduce fever, soothe the Liver and resolve constraint, raise Yang Qi. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Liver Yang rising; Yin deficiency with Heat; may raise Qi excessively in deficiency,derived
62,蝉蜕,Chán Tuì,Cicada Moulting,蝉蜕,,,0.5,6:1,6,3,wind_heat|rash|itch|eye|throat|paediatric,"Disperse Wind-Heat, vent rashes, brighten the eyes, stop spasm and relieve itching",Pregnancy; weak constitution without exterior pattern,derived
63,车前草(车前),Chē Qián Cǎo,Plantago Herb,车前草,,车前,2.22,4.5:1,4.5,10,urinary|heat|damp|toxin|bleeding,"Promote urination, clear Heat, cool Blood and resolve toxin — the whole herb adds toxin-resolving action",Kidney deficiency with clear frequent urination,derived
64,车前子(车前),Chē Qián Zǐ,Plantago Seed,车前子,,车前,2,5:1,5,10,urinary|damp|oedema|eye|diarrhoea,"Promote urination, free painful urination, drain Damp, brighten the eyes and dissolve phlegm",Kidney deficiency with clear frequent urination; must be bagged when decocted,derived
65,盐车前子(车前),Yán Chē Qián Zǐ,Salt-processed Plantago Seed,车前子,盐,车前,2,5:1,5,10,urinary|damp|oedema|eye|diarrhoea|kidney,"Promote urination, free painful urination, drain Damp, brighten the eyes and dissolve phlegm. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",Kidney deficiency with clear frequent urination; must be bagged when decocted,derived
66,炒车前子(车前),Chǎo Chē Qián Zǐ,Dry-fried Plantago Seed,车前子,炒,车前,1,10:1,10,10,urinary|damp|oedema|eye|diarrhoea|spleen,"Promote urination, free painful urination, drain Damp, brighten the eyes and dissolve phlegm. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Kidney deficiency with clear frequent urination; must be bagged when decocted,derived
67,沉香,Chén Xiāng,Aquilaria Wood,沉香,,,0.5,10:1,10,5,qi_move|pain|stomach|asthma|kidney,"Move Qi, relieve pain, warm the Middle, stop vomiting and grasp Qi to calm wheezing",Yin deficiency with Fire; Qi deficiency with sinking; add late in decoction,derived
68,陈皮,Chén Pí,Aged Tangerine Peel,陈皮,,,2.5,2:1,2,5,gut|phlegm|qi_stagnation|spleen|nausea,"Move Qi, dry Damp, resolve Phlegm, harmonize Spleen-Stomach",Qi or Yin deficiency without stagnation,curated
69,赤芍(芍药),Chì Sháo,Red Peony Root,赤芍,,芍药,1.8,3.3:1,3.3,6,blood_stasis|heat|liver|pain|menstrual,"Invigorate Blood, dispel stasis, clear Heat, stop pain","Pregnancy, bleeding disorders",curated
70,赤小豆(赤小豆),Chì Xiǎo Dòu,Adzuki Bean,赤小豆,,赤小豆,0.77,6.5:1,6.5,5,oedema|urinary|damp|toxin|weight,"Promote urination, reduce swelling, resolve toxin and expel pus",Prolonged use in Yin deficiency; frequent clear urination,derived
71,赤小豆(赤豆),Chì Xiǎo Dòu,Adzuki Bean,赤小豆,,赤豆,0.77,6.5:1,6.5,5,oedema|urinary|damp|toxin|weight,"Promote urination, reduce swelling, resolve toxin and expel pus",Prolonged use in Yin deficiency; frequent clear urination,derived
72,茺蔚子,Chōng Wèi Zǐ,Leonurus Fruit,茺蔚子,,,0.67,7.5:1,7.5,5,blood_move|menstrual|women|eye|liver,"Invigorate Blood, free menstruation, clear the Liver and brighten the eyes",Pregnancy; Blood deficiency; pupil dilation — avoid in glaucoma,derived
73,川楝子,Chuān Liàn Zǐ,Melia Fruit,川楝子,,,1.43,3.5:1,3.5,5,qi_move|liver|pain|parasite|hernia,"Soothe the Liver, move Qi, relieve pain and kill parasites","Mildly toxic — avoid prolonged use, hepatotoxic risk; Spleen and Stomach Cold deficiency",derived
74,炒川楝子,Chǎo Chuān Liàn Zǐ,Dry-fried Melia Fruit,川楝子,炒,,1.67,3:1,3,5,qi_move|liver|pain|parasite|hernia|spleen,"Soothe the Liver, move Qi, relieve pain and kill parasites. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.","Mildly toxic — avoid prolonged use, hepatotoxic risk; Spleen and Stomach Cold deficiency",derived
75,川牛膝,Chuān Niú Xī,Cyathula Root,川牛膝,,,3.33,1.5:1,1.5,5,blood_stasis|liver|kidney|joint|aging|blood_pressure,"Invigorate Blood, guide Blood downward, strengthen sinews","Pregnancy, menorrhagia",curated
76,穿心莲,Chuān Xīn Lián,Andrographis,穿心莲,,,1.5,4:1,4,6,heat|toxin|throat|antiviral|diarrhoea,"Clear Heat, resolve toxin, cool Blood and reduce swelling",Spleen and Stomach Cold deficiency; pregnancy; very bitter and cold — not for prolonged use,derived
77,川芎,Chuān Xiōng,Ligusticum Rhizome,川芎,,,1.67,3:1,3,5,women|blood_stasis|menstrual|pain|head,"Invigorate Blood, move Qi, expel Wind, stop pain","Bleeding disorders, Yin deficiency heat, pregnancy",curated
78,垂盆草,Chuí Pén Cǎo,Sedum Sarmentosum,垂盆草,,,3.33,3:1,3,10,damp|liver|toxin|jaundice|heat,"Drain Damp, resolve toxin, reduce swelling and lower transaminases",Spleen and Stomach Cold deficiency,derived
79,椿皮,Chūn Pí,Ailanthus Bark,椿皮,,,0.8,7.5:1,7.5,6,damp|diarrhoea|bleeding|astringent|women,"Clear Heat, dry Damp, astringe the intestines, stop bleeding and kill parasites",Spleen and Stomach deficiency Cold; dysentery of the early excess stage,derived
80,煅磁石,Duàn Cí Shí,Calcined Magnetite,磁石,煅,,0.8,12.5:1,12.5,10,kidney|liver|sleep|anxiety|ears|dizziness|astringent,"Anchor Kidney, calm Shen, benefit ears and eyes. Calcining makes a mineral or shell friable and readily decocted, strengthening the astringent, acid-restraining and anchoring action.",Spleen-Stomach weakness,curated+processed
81,刺五加,Cì Wǔ Jiā,Siberian Ginseng,刺五加,,,0.83,12:1,12,10,qi_tonic|kidney|spleen|fatigue|shen|aging,"Supplement Qi, strengthen Spleen and Kidney, quiet the Shen and relieve fatigue",Excess Heat patterns; uncontrolled hypertension; insomnia if taken late,derived
82,酒苁蓉(管花肉苁蓉),Jiǔ Cōng Róng,Wine-processed Cistanche,苁蓉,酒,管花肉苁蓉,2.38,2.1:1,2.1,5,kidney|yang_tonic|essence|constipation|aging|blood_move,"Supplement Kidney Yang, benefit Essence and Blood, moisten the intestines. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.",Yin deficiency with Fire; loose stool; Damp-Heat,derived
83,酒苁蓉(肉苁蓉),Jiǔ Cōng Róng,Wine-processed Cistanche,苁蓉,酒,肉苁蓉,3.13,1.6:1,1.6,5,kidney|yang_tonic|essence|constipation|aging|blood_move,"Supplement Kidney Yang, benefit Essence and Blood, moisten the intestines. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.",Yin deficiency with Fire; loose stool; Damp-Heat,derived
84,肉苁蓉(管花肉苁蓉),Ròu Cōng Róng,Cistanche,肉苁蓉,,管花肉苁蓉,2.27,2.2:1,2.2,5,yang_tonic|kidney|jing|constipation|aging|men,"Tonify Kidney Yang and Jing, moisten intestines","Diarrhea, excess fire, constipation from Heat",curated
85,制川乌,Zhì Chuān Wū,Processed Aconite Root,制川乌,,,0.56,2.7:1,2.7,1.5,wind_damp|pain|cold|arthritis,"Dispel Wind-Damp, warm the channels and powerfully relieve pain","TOXIC — processed form only, must be decocted long; pregnancy; never combine with 半夏/瓜蒌/贝母/白蔹/白及; strict dose control",derived
86,重楼(云南重楼),Chóng Lóu,Paris Rhizome,重楼,,云南重楼,1.43,3.5:1,3.5,5,toxin|heat|abscess|snakebite|spasm,"Clear Heat, resolve toxin, reduce swelling, relieve pain and settle spasm",TOXIC — dose-limited; pregnancy; sores of deficiency type,derived
87,穿山龙,Chuān Shān Lóng,Dioscorea Nipponica,穿山龙,,,2.86,3.5:1,3.5,10,wind_damp|joint|blood_move|cough|pain,"Dispel Wind-Damp, free the collaterals, invigorate Blood and stop cough",Pregnancy; caution in Yin deficiency,derived
88,楮实子,Chǔ Shí Zǐ,Broussonetia Fruit,楮实子,,,1.43,7:1,7,10,kidney|liver|eye|yin_tonic|oedema,"Supplement the Kidney, clear the Liver, brighten the eyes and promote urination",Spleen deficiency with loose stool,derived
89,川木香(川木香),Chuān Mù Xiāng,Vladimiria Root,川木香,,川木香,2.14,1.4:1,1.4,3,qi_move|pain|digestion|spleen,"Move Qi, relieve pain, strengthen the Spleen and aid digestion",Yin deficiency with Heat; dry constitution,derived
90,川木通(小木通),Chuān Mù Tōng,Clematis Armandii Stem,川木通,,小木通,0.5,10:1,10,5,urinary|heat|lactation|damp,"Promote urination, drain Heat from the Heart and free the collaterals and lactation",Pregnancy; Qi deficiency; do not confuse with 关木通 which is nephrotoxic,derived
91,预知子(木通),Yù Zhī Zǐ,Akebia Fruit,预知子,,木通,1.67,3:1,3,5,liver|qi_move|stomach|pain|nodule,"Soothe the Liver, harmonise the Stomach, invigorate Blood and relieve pain",Pregnancy; Spleen deficiency with loose stool,derived
92,草果仁,Cǎo Guǒ Rén,Tsaoko Fruit,草果仁,,,0.74,6.8:1,6.8,5,damp|cold|stomach|digestion|malaria,"Dry Damp, warm the Middle, disperse Cold and check malarial disorder",Yin and Blood deficiency; no Cold-Damp present,derived
93,大腹皮(大腹皮),Dà Fù Pí,Areca Peel,大腹皮,,大腹皮,0.91,5.5:1,5.5,5,qi_move|bloating|oedema|damp|digestion,"Move Qi, relieve distension, promote urination and reduce swelling",Qi deficiency; pregnancy,derived
94,大黄(药用大黄),Dà Huáng,Rhubarb Root,大黄,,药用大黄,1.5,4:1,4,6,constipation|heat|toxin|blood_move|liver,"Drain Heat downward, free the stool, cool Blood, resolve toxin and dispel stasis",Pregnancy; breastfeeding; menstruation; Spleen and Stomach deficiency; long-term use causes dependence,derived
95,熟大黄(药用大黄),Shú Dà Huáng,Wine-steamed Rhubarb,熟大黄,,药用大黄,2,3:1,3,6,blood_move|toxin|heat|constipation,Steaming much reduces the purgative force and strengthens Blood-stasis-dispelling and toxin-resolving action,Pregnancy; Spleen and Stomach deficiency,derived
96,酒大黄(药用大黄),Jiǔ Dà Huáng,Wine-processed Rhubarb Root,大黄,酒,药用大黄,1.5,4:1,4,6,constipation|heat|toxin|blood_move|liver,"Drain Heat downward, free the stool, cool Blood, resolve toxin and dispel stasis. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.",Pregnancy; breastfeeding; menstruation; Spleen and Stomach deficiency; long-term use causes dependence,derived
